agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
USGS	09405500	00060	143263	1	1	1989	2018	30	2011	100	1992	36.0	57	38	41	43	44	51	69	77	83	92
USGS	09405500	00060	143263	1	2	1989	2018	30	2011	98.6	1992	33.0	57	37	40	44	46	51	66	70	79	91
USGS	09405500	00060	143263	1	3	1989	2018	30	1997	648	1992	38.0	78	39	40	43	44	53	67	72	112	357
USGS	09405500	00060	143263	1	4	1989	2018	30	1997	124	2000	38.0	59	39	41	43	45	55	66	69	95	115
USGS	09405500	00060	143263	1	5	1989	2018	30	2008	766	2004	33.7	92	36	41	44	46	60	69	70	92	550
USGS	09405500	00060	143263	1	6	1989	2018	30	2008	112	1990	34.0	60	35	43	46	46	57	69	71	92	110
USGS	09405500	00060	143263	1	7	1989	2018	30	1993	176	1990	36.0	61	39	43	46	47	53	67	70	76	133
USGS	09405500	00060	143263	1	8	1989	2018	30	1993	342	1990	39.0	69	41	44	47	48	58	67	70	96	221
USGS	09405500	00060	143263	1	9	1989	2018	30	2005	935	1992	39.0	98	40	44	47	48	58	68	79	99	597
USGS	09405500	00060	143263	1	10	1989	2018	30	2005	2060	1992	41.0	129	42	44	48	49	58	69	72	103	993
USGS	09405500	00060	143263	1	11	1989	2018	30	2005	2820	1991	43.0	155	43	45	48	49	60	65	67	101	1380
USGS	09405500	00060	143263	1	12	1989	2018	30	2005	630	1992	42.0	79	42	43	47	47	59	67	71	96	355
USGS	09405500	00060	143263	1	13	1989	2018	30	2005	305	1992	38.0	69	40	43	47	48	60	67	69	100	216
USGS	09405500	00060	143263	1	14	1989	2018	30	2005	224	1992	35.0	65	38	41	46	47	58	67	68	93	177
USGS	09405500	00060	143263	1	15	1989	2018	30	2005	178	1992	39.0	63	39	40	44	47	55	68	73	90	136
USGS	09405500	00060	143263	1	16	1989	2018	30	1993	189	1992	40.0	65	41	43	46	47	57	70	73	90	170
USGS	09405500	00060	143263	1	17	1989	2018	30	1993	184	2008	38.5	64	39	42	45	48	54	68	72	105	161
USGS	09405500	00060	143263	1	18	1989	2018	30	1993	141	2008	38.4	63	39	41	43	47	55	69	70	112	137
USGS	09405500	00060	143263	1	19	1989	2018	30	2005	127	1991	38.0	62	39	42	47	49	59	68	70	94	113
USGS	09405500	00060	143263	1	20	1989	2018	30	2005	133	1991	37.0	61	37	40	48	51	58	65	70	86	109
USGS	09405500	00060	143263	1	21	1989	2018	30	2005	133	1991	35.0	61	36	38	46	50	59	66	68	86	109
USGS	09405500	00060	143263	1	22	1989	2018	30	2005	127	1991	31.0	59	34	40	47	48	57	66	69	81	107
USGS	09405500	00060	143263	1	23	1989	2018	30	2005	127	1991	28.0	60	34	39	47	50	56	67	72	86	109
USGS	09405500	00060	143263	1	24	1989	2018	30	2009	194	1991	30.0	65	33	41	48	50	60	71	74	82	159
USGS	09405500	00060	143263	1	25	1989	2018	30	2005	133	1991	31.0	63	33	44	48	48	59	70	78	84	126
USGS	09405500	00060	143263	1	26	1989	2018	30	1997	311	1991	31.0	75	35	39	48	51	60	73	81	117	244
USGS	09405500	00060	143263	1	27	1989	2018	30	2005	238	1991	32.0	70	36	42	45	51	59	66	70	132	192
USGS	09405500	00060	143263	1	28	1989	2018	30	2005	152	1991	32.0	63	34	43	48	51	56	67	72	86	133
USGS	09405500	00060	143263	1	29	1989	2018	30	2005	170	1991	32.0	61	36	40	47	48	57	67	70	75	122
USGS	09405500	00060	143263	1	30	1989	2018	30	2005	130	1991	28.0	62	36	45	47	49	58	69	72	84	106
USGS	09405500	00060	143263	1	31	1989	2018	30	2005	116	1991	31.0	64	37	45	48	52	60	72	82	97	108
USGS	09405500	00060	143263	2	1	1989	2018	30	2016	117	1991	36.0	61	38	45	48	49	56	68	70	82	114
USGS	09405500	00060	143263	2	2	1989	2018	30	2005	105	1991	38.0	60	40	46	50	51	56	67	67	79	93
USGS	09405500	00060	143263	2	3	1989	2018	30	2005	101	1990	36.0	60	38	43	52	52	58	67	70	78	93
USGS	09405500	00060	143263	2	4	1989	2018	30	2017	102	1990	37.0	62	39	43	50	52	62	68	70	81	100
USGS	09405500	00060	143263	2	5	1989	2018	30	2005	99.5	1990	42.0	62	43	46	47	50	61	69	72	89	96
USGS	09405500	00060	143263	2	6	1989	2018	30	2005	98.1	2003	38.6	61	40	42	46	50	60	69	71	87	92
USGS	09405500	00060	143263	2	7	1989	2018	30	2010	112	2003	38.1	63	40	44	47	49	61	73	74	101	110
USGS	09405500	00060	143263	2	8	1989	2018	30	1993	229	2003	37.9	71	40	46	49	51	63	76	80	98	166
USGS	09405500	00060	143263	2	9	1989	2018	30	1993	188	2003	38.4	66	40	43	46	51	64	73	76	87	146
USGS	09405500	00060	143263	2	10	1989	2018	30	1999	134	2003	40.7	66	42	44	49	52	62	72	75	110	125
USGS	09405500	00060	143263	2	11	1989	2018	30	2017	687	2002	44.2	87	44	46	50	52	62	71	73	81	434
